Date,Open,High,Low,Close,Volume,MA200W,rising,from_above,evt_5pct,evt_4pct,evt_3pct,evt_2pct,evt_1pct,evt_touch,setup_start
1997-07-25,18.625,19.0,17.53125,17.5625,15104000,13.0671875,True,True,False,False,False,False,False,False,False
1997-08-01,17.59375,18.5,16.59375,18.1875,24740000,13.0934375,True,True,False,False,False,False,False,False,False
1997-08-08,18.75,19.625,17.96875,18.03125,19952600,13.13234375,True,True,False,False,False,False,False,False,False
1997-08-15,18.0625,19.625,17.59375,18.75,16630000,13.17546875,True,True,False,False,False,False,False,False,False
1997-08-22,18.53125,21.375,18.375,20.90625,35531600,13.23,True,True,False,False,False,False,False,False,False
1997-08-29,21.0,21.1875,18.5625,18.8125,12645800,13.2746875,True,True,False,False,False,False,False,False,False
1997-09-05,18.90625,20.0,17.28125,17.65625,26046800,13.31484375,True,True,False,False,False,False,False,False,False
1997-09-12,17.71875,18.0,16.3125,17.75,30941400,13.35421875,True,True,False,False,False,False,False,False,False
1997-09-19,17.75,17.9375,15.625,16.25,27667400,13.38921875,True,True,False,False,False,False,False,False,False
1997-09-26,16.75,16.8125,15.375,16.1875,26382400,13.42234375,True,True,False,False,False,False,False,False,False
1997-10-03,16.25,16.6875,13.375,14.90625,51838600,13.450625,True,True,True,True,True,True,True,True,True
1997-10-10,15.09375,15.8125,14.03125,15.40625,27788000,13.48359375,True,True,True,False,False,False,False,False,True
1997-10-17,15.4375,15.5625,13.75,14.0625,15500200,13.50921875,True,True,True,True,True,True,False,False,True
1997-10-24,14.03125,14.875,12.625,13.09375,22350000,13.53125,True,True,False,True,True,True,True,True,False
1997-10-31,12.75,12.875,9.8125,11.5,30248600,13.544375,True,False,False,False,False,False,False,False,False
1997-11-07,11.90625,12.28125,10.125,11.28125,20540800,13.55484375,True,False,False,False,False,False,False,False,False
1997-11-14,11.3125,11.3125,9.28125,10.21875,20909000,13.55875,True,False,False,False,False,False,False,False,False
1997-11-21,10.65625,11.59375,10.375,11.3125,16323400,13.5671875,True,False,False,False,False,False,False,False,False
1997-11-28,11.3125,11.3125,10.625,10.90625,8567200,13.57078125,True,False,False,False,False,False,False,False,False
1997-12-05,11.0,11.3125,10.28125,10.5625,11909200,13.57265625,True,False,False,False,False,False,False,False,False
1997-12-12,10.5625,11.0625,8.9375,9.09375,14914200,13.565,False,False,False,False,False,False,False,False,False
1997-12-19,9.125,9.46875,8.75,9.40625,17440600,13.55765625,False,False,False,False,False,False,False,False,False
1997-12-26,9.46875,9.65625,8.75,8.78125,6885200,13.5484375,False,False,False,False,False,False,False,False,False
1998-01-02,8.84375,9.65625,8.5625,9.65625,14864800,13.53828125,False,False,False,False,False,False,False,False,False
1998-01-09,9.6875,10.4375,8.8125,9.125,25427000,13.51328125,False,False,False,False,False,False,False,False,False
1998-01-16,8.75,10.4375,8.65625,8.90625,19879000,13.4834375,False,False,False,False,False,False,False,False,False
1998-01-23,8.90625,9.375,8.875,9.0625,8059000,13.4546875,False,False,False,False,False,False,False,False,False
1998-01-30,9.1875,10.09375,9.1875,10.09375,16856600,13.42703125,False,False,False,False,False,False,False,False,False
1998-02-06,10.15625,10.34375,8.96875,9.25,25710800,13.40328125,False,False,False,False,False,False,False,False,False
1998-02-13,9.25,9.84375,9.25,9.5625,12651400,13.39109375,False,False,False,False,False,False,False,False,False
1998-02-20,9.625,9.96875,9.40625,9.875,10524000,13.37671875,False,False,False,False,False,False,False,False,False
1998-02-27,9.96875,12.6875,9.90625,11.75,55474400,13.36953125,False,False,False,False,False,False,False,False,False
1998-03-06,11.75,11.9375,10.25,10.90625,25543800,13.3628125,False,False,False,False,False,False,False,False,False
1998-03-13,10.78125,11.25,10.28125,10.96875,15366800,13.35828125,False,False,False,False,False,False,False,False,False
1998-03-20,11.0,12.0,10.90625,11.1875,23515400,13.35140625,False,False,False,False,False,False,False,False,False
1998-03-27,11.1875,12.40625,10.96875,12.34375,18519200,13.3475,False,False,False,False,False,False,False,False,False
1998-04-03,12.5,15.25,12.5,14.28125,68034600,13.34828125,True,False,False,False,False,False,False,False,False
1998-04-10,14.25,15.5,13.1875,13.3125,36239600,13.34765625,False,True,False,False,False,False,False,False,False
1998-04-17,13.125,13.875,12.40625,13.875,20346800,13.35203125,True,False,False,False,False,False,False,False,False
1998-04-24,13.625,15.0625,13.3125,14.5625,27209800,13.36390625,True,True,False,False,True,True,True,True,False
1998-05-01,14.1875,14.4375,13.375,13.78125,13653600,13.3678125,True,True,True,True,True,True,True,False,True
1998-05-08,13.78125,13.96875,12.59375,12.96875,29317000,13.36578125,False,True,False,False,False,False,False,False,False
1998-05-15,13.25,13.375,11.125,11.125,26576400,13.35796875,False,False,False,False,False,False,False,False,False
1998-05-22,11.15625,11.5,9.96875,10.03125,26888400,13.3434375,False,False,False,False,False,False,False,False,False
1998-05-29,10.125,10.40625,9.53125,9.78125,20187400,13.32484375,False,False,False,False,False,False,False,False,False
1998-06-05,9.90625,10.125,8.9375,9.15625,23556600,13.3040625,False,False,False,False,False,False,False,False,False
1998-06-12,9.15625,9.375,8.1875,8.4375,22502400,13.2753125,False,False,False,False,False,False,False,False,False
1998-06-19,8.5,9.3125,8.4375,8.75,13275400,13.2471875,False,False,False,False,False,False,False,False,False
1998-06-26,8.75,9.375,8.53125,8.875,16868000,13.218125,False,False,False,False,False,False,False,False,False
1998-07-03,8.875,8.96875,8.09375,8.375,15301600,13.1896875,False,False,False,False,False,False,False,False,False
1998-07-10,8.375,9.5,7.65625,7.84375,37101000,13.15921875,False,False,False,False,False,False,False,False,False
